Year / Title,Problem type,Objectives / Goals,Metrics Used,Metrics Match Objectives?
2023,,,,
CoxNAM: An interpretable deep survival analysis model,Methodology,"Build a nonlinear survival model compatible with Cox’s partial likelihood, improve predictive ranking performance compared to CPH, RSF, DeepSurv, provide intrinsic interpretability through NAM shape functions.",Harrell CI,"Partially, missing Uno's CI for valid under indep. cens."
SurvivalGAN: Generating Time-to-Event Data for Survival Analysis,Methodology,"Formalize synthetic survival data generation, generate time-to-event data that incorporates censored and uncensored data, evaluate quality of generated data","Harrell CI, IBS","No, missing TTE error, missing Uno's CI for valid under indep. cens."
Sparse and Hierarchical Transformer for Survival Analysis on Whole Slide Images,Methodology,"Show better survival prediction than baselines, and outperform SOTA based on C-index.","Harrell CI, TD-AUC, log-rank","Partially, cens. assumptions not checked, no use of IPCW"
Explainable survival analysis with uncertainty using convolution-involved vision transformer,Methodology,Improve survival risk ranking using integrative deep model; stratify patients,"Harrell CI, KM curves, log-rank","Partially, CI matches goal, but cens. assumptions not addressed"
Interpretable Survival Analysis for Heart Failure Risk Prediction,Application,"Predict incident heart failure risk using censored EHR time-to-event data, provide an interpretable survival model using EBMs, deliver accurate survival predictions compared with Cox and other survival models.","TD-AUC, IBS","Yes, AUC fits discrimination goal, IBS partially covers calibration, uses IPCW"
Survival Analysis for Multimode Ablation Using Self-Adapted Deep Learning Network Based on Multisource Features,Methodology,"Rank patients by risk (high- vs low-risk stratification, inferred via risk scores and KM split), predict individual survival curves (time-dependent PFS probability), assess calibration clinically (qualitative comparison of predicted vs actual recurrence times).","Antollini CI, IBS, KM plots","No, Antollini CI unstable with heavy censoring, no MAE/RMSE or TD-AUC, IBS alone is insufficient. Missing calibration metrics"
A boosting first-hitting-time model for survival analysis in high-dimensional settings,Methodology,"Develop non-PH model to predict first hitting time, evaluate predictive performance and calibration, no ranking.","Brier Score, IBS, KM calibrations plots","Partially, Brier score + IBS are appropriate, no ranking (which matches objective), censoring partially assessed; censoring assumptions not validated"
Exploiting Censored Information in Self-Training for Time-to-Event Prediction,Methodology,"Predict time-to-event (survival time) and improve accuracy using a semi-supervised approach that uses censored observations more effectively, develop a self-training framework (STUART) that augments training data with confident predictions on censored instances, compare predictive performance against RSF, Cox-based models, and SP-AFT",Harrell CI,"No, missing TTE metrics, only use C-index. No calibration; censoring bias unaddressed"
Differentiable Sorting for Censored Time-to-Event Data,Methodology,"Improve risk ranking performance over CoxPH, handle censoring properly, enable top-k risk prediction ",Harrell CI,"Partially, C-index matches ranking goal. But they use Harrell's, when their datasets include heavy censoring (~85%). No justification of independent censoring. No censoring-robust alternatives."
MOTOR: a time-to-event foundation model for structured medical records,Methodology,"Predict the full time-to-event (TTE) distribution. Improve discrimination, calibration","TD-C, Harrell C, IBS, ND calibration","Partially, discrimination & calibration metrics match some goals, but they do not evaluate time-to-event accuracy (no MAE/RMSE/Hinge/Margin/PO), despite explicitly claiming to predict TTE"
"Improve survival prediction accuracy, improve risk ranking,",Application,"Predict time-to-event OS using radiomic + clinical features, identify strong preprocessing / feature selection / ML combinations, stratify patients into risk groups (Kaplan–Meier used for validation).",Harrell CI,"Partially, Harrell’s CI measures risk ranking, but no IBS, MAE, RMSE, or other time-error metrics are reported."
Understanding the Impact of Competing Events on Heterogeneous Treatment Effect Estimation from Time-to-Event Data,Methodology,"Analyze how competing events induce covariate shift for different causal estimands, ",RMSE,"Yes, RMSE of estimated HTEs is the correct metric for their causal-identification goals."
Predicting the Risk of Posttraumatic Osteoarthritis After Primary Anterior Cruciate Ligament Reconstruction: A Machine Learning Time-to-Event Analysis,Methodology,"Predict time-to-event outcomes, generate individualized survival curves, identify risk factors, compare RSF to KM","Harrell CI, Brier Score, IBS","Partially, metrics do not fully address time-to-event prediction, and censoring handling is incomplete (Harrell CI bias)"
Fair Survival Time Prediction via Mutual Information Minimization,Methodology,"Ensure fairness of survival-time predictions across sensitive groups, measure disparities in survival prediction ","Harrell CI, Brier/IBS, ECE, disparity metrics","Partially, correct for fairness objective, but C-index not censoring-robust"
Using Bayesian Neural Networks to Select Features and Compute Credible Intervals for Personalized Survival Prediction,Methodology,"Accurate selection of pertinent features, computation of trustworthy credible intervals (uncertainty), precise estimation of event times or risk scores","Harrell C-index, mMAE, D-Calibration, C-Calibration","Partially, objective metrics correct, but censoring handling incomplete (Harrell CI bias)"
Survival Analysis of Breast Cancer Patients: A Population-Based Study from SEER,Application,"Predict risk of death, identify significant prognostic features, compare RSF to Cox and Gradient Boosting on predictive performance (predicting ranking, survivability)",Harrell CI,"No, only ranking is evaluated, even though they imply broader prediction goals + incorrect censoring handling"
Survival Analysis for Multimode Ablation Using Self-Adapted Deep Learning Network Based on Multisource Features,Methodology,Benchmark predictive performance of survival models,"Harrell CI, Brier, IBS","Partially, correct metrics for objective, but censoring handling incomplete"
CVaDeS: A Conditional Variational Deep Survival Model for Survival Analysis,Methodology,Predict risk; evaluate feature selection; model uncertainty,"Harrell CI, Log-rank","No, partial alignment with objectives + incorrect censoring handling"
Deep Survival Analysis and Counterfactual Inference Using Balanced Representations,Methodology,Estimate ATE/ITE under censoring; reduce confounding; improve causal accuracy,"Harrell C-index, counterfactual metrics","Partially, causal metrics correct, but censoring handling incomplete (Harrell CI)"
Federated Survival Forests,Methodology,"Provide an efficient, federated survival model, achieve strong discrimination performance, achieve good calibration of survival probabilities, and handle censored, incomplete data across distributed clients.","Harrell CI, IBS (IPCW)","Partially, Missing TTE accuracy + full calibration metrics, but censoring handled correctly"
Exploiting Censored Information in Self-Training for Time-to-Event Prediction,Methodology,"Predict survival time, exploit censored data, improve TTE accuracy",Harrell CI,"No, missing TTE error + calibration; Harrell CI invalid under heavy censoring (over 70%)"
Tabular GAN-Based Oversampling of Imbalanced Time-to-Event Data for Survival Prediction,Methodology,"Evaluate whether GAN-based oversampling improves balanced survival prediction, assess impacts on survival-prediction performance. ","Harrell CI, TD-AUC, Brier Score","No, missing TTE error + calibration; censoring handled incorrectly"
Deep Clustering Survival Machines with Interpretable Expert Distributions,Methodology,"Perform time-to-event prediction, perform survival clustering using interpretable expert distributions, compete with state-of-the-art deep methods (Deep Cox, DSM, SCA, VaDeSC), show that the mixture-of-experts formulation improves interpretability.","Harrell CI, log-rank","No, missing TTE metrics + missing calibration, incorrect censoring handling"
Uncertainty Estimation in Deep Bayesian Survival Models,Methodology,"Assess whether Bayesian NNs improve survival prediction under Cox PH, quantify uncertainty, compare deterministic vs Bayesian models on predictive performance.","Harrell C-index, Uno C-index, IBS, NLL","Yes, metrics align with objectives and appropriately handle censoring"
,,,,
2024,,,,
Prognosis of fall risk in home care clients: A noninvasive approach using survival analysis,Application,"Predict individual fall risk within 6 months, provide a ranking of individuals, predict time-to-event, provide calibrated survival curves for decision support.","Harrell CI, Uno CI, IBS, MAE-Hinge, D-Calib","Yes, ranking, TTE accuracy, and calibration are all evaluated properly. Uno CI, IBS (IPCW), MAE-Hinge, and D-Calib used appropriately"
