Title,CI (Harrell),CI (Uno),CI (Antolini),BS (no IPCW),BS (IPCW),MSE/RMSE,MAE (Uncens),MAE (Hinge),MAE (Margin),MAE (PO),TD-AUC,1-Calib,ECE/ICI,D-Calib,None
A boosting first-hitting-time model for survival analysis in high-dimensional settings,,,,,X,,,,,,,,,,
A Genetic Algorithm-based Auto-ML System for Survival Analysis,X,,,,,,,,,,,,,,
A machine learning approach for multimodal data fusion for survival prediction in cancer patients,X,,,,,,,,,,,,,,
A meaningful prediction of functional decline in amyotrophic lateral sclerosis based on multi-event survival analysis,X,X,,,X,,,,X,,,,,X,
Adaptive transformer modelling of density function for nonparametric survival analysis,X,,,,,,X,X,,,X,,,,
Alzheimer's disease risk prediction using machine learning for survival analysis with a comorbidity-based approach,X,,,,,,,,,,,,,,
An Effective Meaningful Way to Evaluate Survival Models,,,,,,,X,X,,X,,,,,
An Evidential Time-to-Event Prediction Model Based on Gaussian Random Fuzzy Numbers,X,,,X,,,,,,,,,,,
An Integrated Uncertainty Quantification Model for Longitudinal and Time-to-Event Data,,,,,,X,X,,,,,,,,
An MRI-based deep learning radiomics model predicts recurrence-free survival in lung cancer patients after surgical resection of brain metastases,X,,,,,,,,,,X,,,,
Beyond Average Value Function in Precision Medicine: Maximum Probability-Driven Reinforcement Learning for Survival Analysis,,,,,,,,,,,,,,,X
Beyond Cox models: Assessing the performance of machine-learning methods in non-proportional hazards and non-linear survival analysis,X,,X,,X,,,,,,X,,,,
Boosting Methods for Interval-censored Data with Regression and Classification,,,,,,,,,,,,,,,X
Cancer Survival Analysis via Zero-shot Tumor Microenvironment Segmentation on Low-resolution Whole Slide Pathology Images,X,,,,,,,,,,,,,,
Cohort-Individual Cooperative Learning for Multimodal Cancer Survival Analysis,X,,,,,,,,,,,,,,
Collaborative Survival Analysis on Predicting Alzheimer's Disease Progression,X,,,,,,,,,,,,,,
Comparative analysis and interpretability of survival models for melanoma prognosis,X,,,,,,,,,,X,,,,
Comparative study of five-year cervical cancer cause-specific survival prediction models based on SEER data,,X,,,X,,,,,,X,,,,
Conformalized Survival Distributions: A Generic Post-Process to Increase Calibration,X,,,,X,,,,,X,,,,X,
CoxFNN: Interpretable machine learning method for survival analysis,X,,,,,,,,,,,,,,
"CoxKAN: Kolmogorov-Arnold networks for interpretable, high-performance survival analysis",X,,,,,,,,,,,,,,
CoxNAM: An interpretable deep survival analysis model,X,,,,,,,,,,,,,,
CVaDeS: A Conditional Variational Deep Survival Model for Survival Analysis,X,,,,,,,,,,,,,,
Deep Clustering Survival Machines with Interpretable Expert Distributions,X,,,,,,,,,,,,,,
Deep Contrastive Survival Analysis with Dual-View Clustering,X,,,,X,,,,,,,,,,
Deep Gated Neural Network With Self-Attention Mechanism for Survival Analysis,,,X,,,,X,,,,,,,,
Deep Kernel Aalen-Johansen Estimator: An Interpretable and Flexible Neural Net Framework for Competing Risks,,,X,,X,,,,,,,,,,
Deep learning models for the analysis of high-dimensional survival data with time-varying covariates while handling missing data,,,X,,X,,,,,,,,,,
Deep Survival Analysis and Counterfactual Inference Using Balanced Representations,X,,,,,,,,,,,,,,
Deep Survival Analysis With Latent Clustering and Contrastive Learning,X,,,,X,,,,,,,,,,
Development and validation of time-to-event models to predict metastatic recurrence of localized cutaneous melanoma,,,X,X,,,,,,,X,,,,
Differentiable Sorting for Censored Time-to-Event Data,X,,,,,,,,,,,,,,
DoseSurv: Predicting Personalized Survival Outcomes under Continuous-Valued Treatments,,,,,,,,,,,,,,,X
Dynamic Survival Analysis with Controlled Latent States,,,X,,,,,,,,,,,,
Efficient Training of Probabilistic Neural Networks for Survival Analysis,,,X,,X,,,X,,X,,,X,X,
Ensemble survival analysis for preclinical cognitive decline prediction in Alzheimer's disease using longitudinal biomarkers,X,,,,,,,,,,X,,,,
Explainable survival analysis with uncertainty using convolution-involved vision transformer,X,,,,,,,,,,,,,,
Explainable transformer-based deep survival analysis in childhood acute lymphoblastic leukemia,X,,,,,,,,,,,,,,
Exploiting Censored Information in Self-Training for Time-to-Event Prediction,X,,,,,,,,,,,,,,
Fair Survival Time Prediction via Mutual Information Minimization,X,,,X,,,,,,,,,X,,
Fairness in Survival Analysis with Distributionally Robust Optimization,,,X,,X,,,,,,,,,,
FastSurvival: Hidden Computational Blessings in Training Cox Proportional Hazards Models,X,,,,X,,,,,,,,,,
Federated Survival Forests,,X,,,X,,,,,,,,,,
Forecasting time to risk based on multi-party data: An explainable privacy-preserving decentralized survival analysis method,,,,,,,,,,,X,,,,
Improving credit risk assessment in P2P lending with explainable machine learning survival analysis,X,X,,,,,,,,,,,,,
Integrating Copula-Based Random Forest and Deep Learning Approaches for Analyzing Heterogeneous Treatment Effects in Survival Analysis,X,,,,,X,X,,,,,,,,
Integrating images and genomics for multi-modal cancer survival analysis via mixture of experts,X,,,,,,,,,,,,,,
Interactive Explainable Deep Survival Analysis,X,,,,,,,,,,,,,,
Interpretable machine learning for time-to-event prediction in medicine and healthcare,X,,,X,,,,,,,X,,,,
Interpretable Survival Analysis for Heart Failure Risk Prediction,,,,,X,,,,,,X,,,,
Leveraging the variational Bayes autoencoder for survival analysis,,,X,,X,,,,,,,,,,
Leveraging Tumor Heterogeneity: Heterogeneous Graph Representation Learning for Cancer Survival Prediction in Whole Slide Images,X,,,,,,,,,,,,,,
MENSA: A Multi-Event Network for Survival Analysis with Trajectory-based Likelihood Estimation,X,,,,X,,,,X,,,,,X,
Model averaging prediction for survival data with time-dependent effects,X,,,,X,X,X,,,,,,,,
MOTOR: a time-to-event foundation model for structured medical records,,,,,X,,,,,,,X,,,
Multimodal Prototyping for cancer survival prediction,X,,,,,,,,,,,,,,
Neural Frailty Machine: Beyond proportional hazard assumption in neural survival regressions,,,,,X,,,,,,,,,,
NeuralSurv: Deep Survival Analysis with Bayesian Uncertainty Quantification,X,,,,X,,,,,,,,,X,
New Dynamic Bayesian Network for Time-to-Event Prediction,X,,,,,,,,,,,,,,
Orthogonal Survival Learners for Estimating Heterogeneous Treatment Effects from Time-to-Event Data,,,,,,,,,,,,,,,X
Predicting Amyotrophic Lateral Sclerosis Progression: an EMG-based Survival Analysis,X,,,,,,,,,,,,,,
Predicting the Risk of Posttraumatic Osteoarthritis After Primary Anterior Cruciate Ligament Reconstruction: A Machine Learning Time-to-Event Analysis,,,,X,,,,,,,X,,,,
Prioritising deteriorating patients using time-to-event analysis: prediction model development and internal-external validation,,,,,,,,,,,X,,,,
Prognosis of fall risk in home care clients: A noninvasive approach using survival analysis,X,X,,,X,,,X,,,,,,X,
Prototypical Information Bottlenecking and Disentangling for Multimodal Cancer Survival Prediction,X,,,,,,,,,,,,,,
Reliable multimodal cancer survival prediction with confidence-aware risk modeling,X,,,,,,,,,,,,,,
Sparse and Hierarchical Transformer for Survival Analysis on Whole Slide Images,X,,,,,,,,,,X,,,,
Stable Cox regression for survival analysis under distribution shifts,X,,,,,,,,,,,,,,
Survival Analysis for Multimode Ablation Using Self-Adapted Deep Learning Network Based on Multisource Features,,,X,,X,,,,,,,,,,
Survival analysis in breast cancer: evaluating ensemble learning techniques for prediction,X,,,X,,,,,,,,,,,
Survival Analysis of Breast Cancer Patients: A Population-Based Study from SEER,X,,,,,,,,,,,,,,
Survival Analysis of Superficial Bladder Cancer patients using DeepSurv and Cox models,X,,,,,,,,,,,,,,
Survival Kernets: Scalable and Interpretable Deep Kernel Survival Analysis with an Accuracy Guarantee,,,X,,,,,,,,,,,,
Survival Permanental Processes for Survival Analysis with Time-Varying Covariates,,,,,,,,,,,X,,,,
Survival-LCS: A Rule-Based Machine Learning Approach to Survival Analysis,X,,,X,,,,,,,,,,,
SurvivalGAN: Generating Time-to-Event Data for Survival Analysis,X,,,X,,,,,,,,,,,
SYNDSURV: A simple framework for survival analysis with data distributed across multiple institutions,X,,,,,,,,,,X,,,,
Tabular GAN-Based Oversampling of Imbalanced Time-to-Event Data for Survival Prediction,X,,,X,,,,,,,X,,,,
TDMFS: Tucker decomposition multimodal fusion model for pan-cancer survival prediction,X,,,,,,,,,,,,,,
The AccelerAge framework: a new statistical approach to predict biological age based on time-to-event data,,X,,,,X,,,,,,,,,
Time-dependent interpretable survival prediction model for second primary NSCLC patients,X,,,X,,,,,,,X,,,,
Time-to-event overall survival prediction in glioblastoma multiforme patients using magnetic resonance imaging radiomics,X,,,,,,,,,,,,,,
Toward a Well-Calibrated Discrimination via Survival Outcome-Aware Contrastive Learning,X,,,,X,,,,,,,,,X,
Toward Conditional Distribution Calibration in Survival Prediction,X,,,,X,,,,,X,,,,,
Towards Robust Time-to-Event Prediction: Integrating the Variational Information Bottleneck with Neural Survival Model,,,X,,,,,,,,X,,,,
Transformer-based dynamic survival probability prediction for longitudinal observational data,,,X,,,,,,,,,,,,
Transformer-based time-to-event prediction for chronic kidney disease deterioration,X,,,,,,X,,,,,,,,
Uncertainty Estimation in Deep Bayesian Survival Models,X,X,,,X,,,,,,,,,,
Understanding the Impact of Competing Events on Heterogeneous Treatment Effect Estimation from Time-to-Event Data,,,,,,X,,,,,,,,,
Using Bayesian Neural Networks to Select Features and Compute Credible Intervals for Personalized Survival Prediction,X,,,,,,,,X,,,,,X,
KSP: Kolmogorov-Smirnov Metric-Based Post-Hoc Calibration for Survival Analysis,X,,,,X,,,,,,,,,X,
Using Geographic Location-based Public Health Features in Survival Analysis,X,,,,,,,,,,,,,,
